Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,age,python_yn,R_yn,spark_yn,aws_yn,excel_yn,sql_yn,sas_yn,d3js_yn,julia_yn,jupyter_yn,keras_yn,matlab_yn,matplotlib_yn,pytorch_yn,scikit_yn,tensor_yn,weka_yn,selenium_yn,hadoop_yn,tableau_yn,bi_yn,bigml_yn,rapidminer_yn,flink_yn,datarobot_yn,hana_yn,mongo_yn,trifacta_yn,minitab_yn,kafka_yn,microstrategy_yn,google_an_yn,spss_yn,job_simp,seniority_by_title,seniority_by_description,seniority,desc_len,desc_len_words,count_keywords
Data Scientist,$53K-$91K (Glassdoor est.),"data scientist location: albuquerque, nm education required: bachelor’s degree required, preferably in math, engineering, business, or the sciences. skills required: bachelor’s degree in relevant field, e.g., math, data analysis, database, computer science, artificial intelligence (ai); three years’ experience credit for master’s degree; five years’ experience credit for a ph.d applicant should be proficient in the use of power bi, tableau, python, matlab, microsoft word, powerpoint, excel, and working knowledge of ms access, lms, sas, data visualization tools, and have a strong algorithmic aptitude excellent verbal and written communication skills, and quantitative analytical skills are required applicant must be able to work in a team environment u.s. citizenship and ability to obtain a dod secret clearance required responsibilities: the applicant will be responsible for formulating analytical solutions to complex data problems; creating data analytic models to improve data metrics; analyzing customer behavior and trends; delivering insights to stakeholders, as well as designing and crafting reports, dashboards, models, and algorithms to make data insights actionable; selecting features, building and optimizing classifiers using machine learning techniques; data mining using state-of-the-art methods, extending organization’s data with third party sources of information when needed; enhancing data collection procedures to include information that is relevant for building analytic systems; processing, cleansing, and verifying the integrity of data used for analysis; doing ad-hoc analysis and presenting results in a clear manner; and creating automated anomaly detection systems and constant tracking of its performance. benefits: we offer competitive salaries commensurate with education and experience. we have an excellent benefits package that includes: comprehensive health, dental, life, long and short term disability insurance 100% company funded retirement plans generous vacation, holiday and sick pay plans tuition assistance  benefits are provided to employees regularly working a minimum of 30 hours per week.  tecolote research is a private, employee-owned corporation where people are our primary resource. our investments in technology and training give our employees the tools to ensure our clients are provided the solutions they need, and our very high employee retention rate and stable workforce is an added value to our customers. apply now to connect with a company that invests in you.",3.8,"Tecolote Research
3.8","Albuquerque, NM","Goleta, CA",501 to 1000 employees,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),-1,0,0,53,91,72.0,Tecolote Research,NM,48,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,ssr,ssr,2536,356,6
Healthcare Data Scientist,$63K-$112K (Glassdoor est.),"what you will do:  i. general summary  the healthcare data scientist position will join our advanced analytics group at the university of maryland medical system (umms) in support of its strategic priority to become a data-driven and outcomes-oriented organization. the successful candidate will have 3+ years of experience with machine learning, predictive modeling, statistical analysis, mathematical optimization, algorithm development and a passion for working with healthcare data. previous experience with various computational approaches along with an ability to demonstrate a portfolio of relevant prior projects is essential. this position will report to the umms vice president for enterprise data and analytics (ed&a).  ii. principal responsibilities and tasks  • develops predictive and prescriptive analytic models in support of the organization’s clinical, operations and business initiatives and priorities. • deploys solutions so that they provide actionable insights to the organization and are embedded or integrated with application systems • supports and drives analytic efforts designed around organization’s strategic priorities and clinical/business problems • works in a team to drive disruptive innovation, which may translate into improved quality of care, clinical outcomes, reduced costs, temporal efficiencies and process improvements. • builds and extends our analytics portfolio supported by robust documentation • works with autonomy to find solutions to complex problems using open source tools and in-house development • stays abreast of state-of-the-art literature in the fields of operations research, statistical modeling, statistical process control and mathematical optimization • creates, communicates, and manages the project plans and other required project documentation and provides updates to leadership as necessary • develops and maintains relationships with business, it and clinical leaders and stakeholders across the enterprise to facilitate collaboration and effective communication • works with the analytics team and clinical/business stakeholders to develop pilots so that they may be tested and validated in pilot settings • performs analysis to evaluate primary and secondary objectives from such pilots • assists leadership with strategies for scaling successful projects across the organization and enhances the analytics applications based on feedback from end-users and clinical/business consumers • assists leadership with dissemination of success stories (and failures) in an effort to increase analytics literacy and adoption across the organization.  what you need to be successful:  iii. education and experience  • master’s or higher degree (may be substituted by relevant work experience) in applied mathematics, physics, computer science, engineering, statistics or a related field • 3+ years of mathematical optimization, machine learning, predictive analytics and algorithm development experience (experience with tools such as weka, rapidminer, r. python or other open source tools strongly desired) • strong development skills in two or more of the following: c/c++, c#, python, java • combining analytic methods with advanced data visualizations • expert ability to breakdown and clearly define problems • experience with natural language processing preferred  iv. knowledge, skills and abilities  • proven communications skills – effective at working independently and in collaboration with other staff members. capable of clearly presenting findings orally, in writing, or through graphics. • proven analytical skills – able to compare, contrast, and validate work with keen attention to detail. skilled in working with “real world” data including scrubbing, transformation, and imputation. • proven problem solving skills – able to plan work, set clear direction, and coordinate own tasks in a fast-paced multidisciplinary environment. expert at triaging issues, identifying data anomalies, and debugging software. • design and prototype new application functionality for our products. • change oriented – actively generates process improvements; supports and drives change, and confronts difficult circumstances in creative ways • effective communicator and change agent • ability to prioritize the tasks of the project timeline to achieve the desired results • strong analytic and problem solving skills • ability to cooperatively and effectively work with people from various organization levels  we are an equal opportunity employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.",3.4,"University of Maryland Medical System
3.4","Linthicum, MD","Baltimore, MD",10000+ employees,1984,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,0,0,63,112,87.5,University of Maryland Medical System,MD,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,ssr,ssr,4783,681,3
Data Scientist,$80K-$90K (Glassdoor est.),"knowbe4, inc. is a high growth information security company. we are the world's largest provider of new-school security awareness training and simulated phishing. knowbe4 was created to help organizations manage the ongoing problem of social engineering. tens of thousands of organizations worldwide use knowbe4's platform to mobilize their end users as a last line of defense and enable them to make better security decisions, every day.  we are ranked #1 best place to work in technology nationwide by fortune magazine and have placed #1 or #2 in the tampa bay top workplaces survey for the last four years. we also just had our 27th record-setting quarter in a row!  the data scientist will work closely with the vp of fp&a and the quantitative analytics manager to implement advanced analytical models and other data-driven solutions.  responsibilities: work with key stakeholders throughout the organization to identify opportunities using financial data to develop business solutions. develop new and enhance existing data collection procedures to ensure that all data relevant for analyses is captured. cleanse, consolidate, and verify the integrity of data used in analyses. build and validate predictive models to increase customer retention, revenue generation, and other business outcomes. develop relevant statistical models to assist with profitability forecasting create the analytics to leverage known, inferred and appended information about origins and recognizing patterns to assist in outlook forecasting assist in the design and data modeling of data warehouse. visualize data, especially in reports and dashboards, to communicate analysis results to stakeholders. extend data collection to unstructured data within the company and external sources mine and collect data (both structured and unstructured) to detect patterns, opportunities and insights that drive our organization create and execute automation and data mining requests utilizing sql, access, excel, sas and other statistical programs trouble shoot forecast and optimization anomalies with fp&a team through the use of statistical and mathematical optimization models. develop testing to explain and or reduce these anomalies. oversee and develop key metric forecasts as well as provide budget support based on trends in the business/industry. minimum qualifications: master's degree in statistics, computer science, mathematics or other quantitative discipline required 2-3 years of experience in similar role (master's degree) 0-2 years of experience in similar role (phd) experience leveraging predictive modeling, big data analytics, exploratory data analysis and machine learning to drive significant business impact experience with statistical computer languages (python, r etc.) to manipulate and analyze large datasets preferred. experience with data visualization tools like d3.js, matplotlib, etc., preferred exceptional understanding of machine learning algorithms such as random forest, svm, k-nn, naïve bayes, gradient boosting a plus. applied statistical skills including statistical testing, regression, etc. experience with data bases, query languages, and associated data architecture. experience with distributed computing tools (hive, spark, etc.) is a plus. strong analytical skills and ability to meet project deadlines. note: an applicant assessment, background check and drug test may be part of your hiring procedure.  no recruitment agencies, please.",4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL",501 to 1000 employees,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1,0,0,80,90,85.0,KnowBe4,FL,11,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,ssr,ssr,3461,494,8
Data Scientist,$56K-$97K (Glassdoor est.),"*organization and job id** job id: 310709  directorate: earth & biological sciences  division: biological sciences  group: exposure science team *job description** the biological system science (bss) group in the biological sciences division of the pacific northwest national laboratory (pnnl) is seeking a staff scientist with multidisciplinary experience in computational chemistry, cheminformatics, advanced statistics and/or machine learning/deep learning/ai. preferred candidates will have a broad understanding of the state of computational metabolomics and experience in designing and implementing novel deep learning networks for chemistry applications. research experience in drug design, cheminformatics, deep learning, machine learning and/or small molecule identification is also highly valued. successful candidates will join a large, uniquely collaborative, collegial group of innovators driving the integration of data science, computational science and analytical chemistry to solve the nations most challenging problems in human health, chemical forensics, and national security. the bss group is diverse and inclusive, working closely with colleagues across the laboratory with expertise in computational biology, integrative omics, applied mathematics, computer science, and statistics.  + apply knowledge of statistics, machine learning, advanced mathematics, simulation, software development, and data modeling to to design, development and implement methods that integrate, clean and analyze data, recognize patterns, address uncertainty, pose questions, and make discoveries from structured and/or unstructured data.  + produce solutions driven by exploratory data analysis from complex and high-dimensional datasets.  + design, develop, and evaluate predictive models and advanced algorithms that lead to optimal value extraction from data.  + develop and maintain existing deep learning networks that generate novel molecules for drug discovery applications  + contribue or author proposals, peer-reviewed papers, and other technical products. *minimum qualifications** bs/ba with 0-1 years of experience or ms/ma with 0-1 years of experience *preferred qualifications** + ms in chemical engineering, computer science, or related field with a gpa of 3.5+ 5+ years of research experience  + intermediate level programming experience (preferably python) and high-performance computing experience  + at least one first author published, or proof of submitted, paper applying deep learning for use in novel compound generation  + understanding of the nmda receptor and potential drug targets  + research experience in drug design, cheminformatics, deep learning, machine learning and/or small molecule identification *equal employment opportunity** battelle memorial institute (bmi) at pacific northwest national laboratory (pnnl) is an affirmative action/equal opportunity employer and supports diversity in the workplace. all employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. all bmi staff must be able to demonstrate the legal right to work in the united states. bmi is an e-verify employer. learn more at jobs.pnnl.gov. *_please be aware that the department of energy (doe) prohibits doe employees and contractors from participation in certain foreign government talent recruitment programs. if you are offered a position at pnnl and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._** _directorate:_ _earth & biological sciences_  _job category:_ _scientists/scientific support_  _group:_ _biological systems science_  _opening date:_ _2020-03-26_  _closing date:_ _2020-04-05_",3.8,"PNNL
3.8","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56,97,76.5,PNNL,WA,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,ssr,ssr,3883,532,1
Data Scientist,$86K-$143K (Glassdoor est.),"data scientist affinity solutions / marketing cloud seeks smart, curious, technically savvy candidates to join our cutting-edge data science team. we hire the best and brightest and give them the opportunity to work on industry-leading technologies. the data sciences team at afs/marketing cloud build models, machine learning algorithms that power all our ad-tech/mar-tech products at scale, develop methodology and tools to precisely and effectively measure market campaign effects, and research in-house and public data sources for consumer spend behavior insights. in this role, you'll have the opportunity to come up with new ideas and solutions that will lead to improvement of our ability to target the right audience, derive insights and provide better measurement methodology for marketing campaigns. you'll access our core data asset and machine learning infrastructure to power your ideas. duties and responsibilities · support all clients model building needs, including maintaining and improving current modeling/scoring methodology and processes, · provide innovative solutions to customized modeling/scoring/targeting with appropriate ml/statistical tools, · provide analytical/statistical support such as marketing test design, projection, campaign measurement, market insights to clients and stakeholders. · mine large consumer datasets in the cloud environment to support ad hoc business and statistical analysis, · develop and improve automation capabilities to enable customized delivery of the analytical products to clients, · communicate the methodologies and the results to the management, clients and none technical stakeholders. basic qualifications · advanced degree in statistics/mathematics/computer science/economics or other fields that requires advanced training in data analytics. · being able to apply basic statistical/ml concepts and reasoning to address and solve business problems such as targeting, test design, kpi projection and performance measurement. · entrepreneurial, highly self-motivated, collaborative, keen attention to detail, willingness and capable learn quickly, and ability to effectively prioritize and execute tasks in a high pressure environment. · being flexible to accept different task assignments and able to work on a tight time schedule. · excellent command of one or more programming languages; preferably python, sas or r · familiar with one of the database technologies such as postgresql, mysql, can write basic sql queries · great communication skills (verbal, written and presentation) preferred qualifications · experience or exposure to large consumer and/or demographic data sets. · familiarity with data manipulation and cleaning routines and techniques.",2.9,"Affinity Solutions
2.9","New York, NY","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",0,0,86,143,114.5,Affinity Solutions,NY,23,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,na,2728,378,4
Data Scientist,$71K-$119K (Glassdoor est.),"cyrusone is seeking a talented data scientist who holds a range of data-focused skills both in technical and analytical domains. the ideal candidate is adept at processing, cleansing, and verifying the integrity of data used for visualization and analysis. this role is dynamic, granting the candidate the opportunity to participate in a wide variety of projects and collaborate with many cross-functional teams throughout the business.  duties and responsibilities: participate in an agile scrum cadence process, cleanse, and verify the integrity of data used for analysis perform functional business requirements analysis and data analysis develop data models and algorithms to apply to data sets augment data collection procedures to include necessary information for building accurate analytics collaborate with stakeholders throughout the organization to identify opportunities for leveraging data to drive business solutions evaluate the effectiveness and accuracy of data sources and data gathering techniques gather critical information from meetings with various stakeholders and produce useful reports coordinate with cross-functional teams to implement models and monitor outcomes develop automated discrepancy detection systems and distribute reconciliation reports to stakeholders requirements: must be legally authorized to work in the united states for any employer without sponsorship professional experience using statistical software languages like r, python, and sql to query, manipulate, and draw insights from data sets strong problem-solving skills with an emphasis on product development extensive experience with microsoft sql, mysql and mongodb understanding of version control (git) and project management with azure devops knowledge of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) experience visualizing data for stakeholders using visualization tools such as power bi experience working with and creating data architectures understanding and adherence to agile principles and practices ability to work on problems of any scope where the analysis of situations or data requires a review of a variety of factors self-maintainability and reliability with minimal supervision excellent interpersonal communication, decision making, presentation, and organizational skills ability to build productive internal/external working relationships harmonious with cyrusone culture, core values, and business goals minimum qualifications: 2+ years of related experience in a data analyst role strong can-do attitude in a time sensitive environment other important information about this position: this position requires typical weekday (monday - friday) attendance in an office setting, at times after hours work may be required to meet business and customer needs every position requires certain physical capabilities. cyrusone seeks to make reasonable accommodations that enable individuals with disabilities to perform essential duties when possible cyrusone is an equal opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, gender identity, religion, national origin, disability, veteran status, or other legally protected status.  cyrusone provides reasonable accommodation for qualified individuals with disabilities in accordance with the americans with disabilities act (ada) and any other state or local laws. we will respond to requests for reasonable accommodations to assist you in applying for positions at cyrusone, or to submit a resume. if you need to request an accommodation, please contact our human resources at 214.488.1365 (option 7) or by email at hr@cyrusone.com.",3.4,"CyrusOne
3.4","Dallas, TX","Dallas, TX",201 to 500 employees,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",0,0,71,119,95.0,CyrusOne,TX,21,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,data scientist,na,jr,jr,3747,515,6
Data Scientist,$54K-$93K (Glassdoor est.),"job description  **please only local candidates apply - thank you**  clearone advantage is a fast-growing company that is aggressively hiring due to increased business. we are always improving our marketing, culture and technology to provide our employees with the best work atmosphere and our customers with excellent customer service. coa’s proprietary software is tailored to our industry and allows the client to receive the best service possible.  we are looking for a data scientist to analyze large amounts of raw information to find patterns that will help improve our company. we will rely on you to build data products to extract valuable business insights. in this role, you should be highly analytical with a knack for analysis, math and statistics. critical thinking and problem-solving skills are essential for interpreting data. we want to see a passion for machine-learning and research. your goal will be to help our company analyze trends to make better decisions.  if you are looking to work in a team environment, a place where you are more a name than a number, where you interact with leadership daily, then please send your resume for review!  perks: great location, right on the water in the canton crossing tower casual work environment and wfh flexibility room for advancement what you'll be doing: identify valuable data sources and automate collection processes undertake preprocessing of structured and unstructured data analyze large amounts of information to discover trends and patterns build predictive models and machine-learning algorithms combine models through ensemble modeling present information using data visualization techniques propose solutions and strategies to business challenges collaborate with engineering and product development teams",4.1,"ClearOne Advantage
4.1","Baltimore, MD","Baltimore, MD",501 to 1000 employees,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,0,0,54,93,73.5,ClearOne Advantage,MD,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,na,1786,274,1
Data Scientist,$86K-$142K (Glassdoor est.),"advanced analytics – lead data scientist overview   we are looking for a data scientist to join our data science team to work on interesting projects to help our clients make data driven solutions. as a data scientist, you’ll work closely with the clients to understand their business needs, frame them as statistical problems, and solve them with cutting edge techniques. collaborate with your team, including machine learning engineers, data engineers, analysts, and tpms to define tasks, provide estimates, and work together to deliver a world class solution. the ideal candidate will have the balance of technical skills and business acumen to help the client better understand their core needs while understanding technical limitations.  about you… experience partnering & communicating with executive management team to understand business needs and pain points ability to communicate data science concepts to business stakeholders passion for the application of machine learning to real world problems adept at developing and iterating solutions rapidly ability to lead development of data science solutions what we offer our consultants:  experience working with both large enterprise clients and mid-sized clients progressive responsibilities that encourage ownership and design opportunity to learn and gain experience in complimentary skills such as meeting facilitation, data management, project management, data modeling, and data management company culture that celebrates “foster the culture of we”, “act with integrity” and “drive towards excellence” while having fun at work training and certification opportunities to support your career now and after logic20/20 various opportunities to give back to the community through company sponsored events required qualifications experience building machine learning models using python experience deploying machine learning models in a production environment strong knowledge of probability statistics experience with tensorflow or pytorch experience writing sql to query databases, structure and modify data demonstrated ability to frame business problems as statistical problems and solve them ability to work both independently and as part of a team experience working in ambiguous and dynamic environments that move quickly an undergraduate degree in mathematics, computer science, or engineering is preferred preferred qualifications passion and experience driving adoption of machine learning in industry experience deploying machine learning on large scales through spark or other big data technology experience building systems in aws experience in computer vision with deep neural networks experience with leading workshops with executives to drive requirements gathering masters or phd in data science or related field  about logic20/20. . .   logic20/20 is one of seattle’s fastest growing full-service consulting firms. our core competency is creating simplicity and efficiency in complex solutions. although we make it look like magic, we succeed by combining methodical and structured approaches with our substantial experience to design elegant solutions for even the most intricate challenges. our rapid growth is in response to our ability to deliver consistently for our clients, which is directly related to the quality of the people we hire.  the past four years, we’ve been in the top 10 “best companies to work for” ….. why? our team members are highly self-motivated, comfortable conceiving strategies on the fly, and enjoy working both individually and as part of a team. our environment is very high-energy and demanding, and individuals with remarkable enthusiasm and a can-do attitude are joining our team. we have lots of fun, focus on our employees and our clients, and work to bring our best to every opportunity.",3.8,"Logic20/20
3.8","San Jose, CA","Seattle, WA",201 to 500 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,0,0,86,142,114.0,Logic20/20,CA,16,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,na,3804,564,7
Research Scientist,$38K-$84K (Glassdoor est.),"summary  the research scientist i will be tasked with oversight of research in the division of cancer biology research at the rochester general hospital research institute.  a strong background in molecular biology or cancer biology research is preferred. mouse models will be used in the research.  status: full time  location: rgh research institute  department: cancer biology  schedule: monday-friday; days  attributes md or phd who is not self supporting of their own salary nor has their own research program functions with minimal direction from research scientist ii, senior research scientist or laboratory director. strong analytical, computer, leadership and problem-solving skills responsibilities conducts research projects including complex experiments, some in parallel, utilizing current concepts and recognized standard techniques, developing new protocols as necessary demonstrates a high level of initiative in performing experiments, analyzing data and drawing conclusions regarding progress and results of work. maintains a familiarity with current and emerging technologies through reading and understanding scientific and technical literature resulting in a broadening understanding of disciplines outside area of training and enabling the use of new and improved procedures in the laboratory. duties are performed with an understanding of drug discovery in area of specialization. education phd; md rochester regional health is an equal opportunity / affirmative action employer. minority/female/disability/veteran",3.3,"Rochester Regional Health
3.3","Rochester, NY","Rochester, NY",10000+ employees,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,0,0,38,84,61.0,Rochester Regional Health,NY,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,na,na,1538,215,0
Data Scientist,$120K-$160K (Glassdoor est.),"isn’t your usual company. our work is powered by the premise that every person at is unique, possessing a distinct set of skills, personality, and passions. we embrace our collective talents to tackle technical challenges, refine our successfully disruptive business ideas, and co-create one of the most human and inspiring work cultures out there. we are a team of collaborators, valuing and rewarding shared success over individual heroics. as a member of our data science team, you will use your quantitative expertise to identify new areas of research and optimization, and then see those ideas through to production. data science is a fundamental contributor to intent’s success - your work will have a direct and tangible impact on the business. there are no typical projects, but a workflow might involve performing research and analysis against petabytes of historical data using our collection of large-scale analytics tools like spark, snowflake, and redshift, building prototypes using mostly scala or another functional language, pairing with engineers on the modeling and prediction team to harden and deploy the functionality, and running live tests to monitor the results. all of these steps take place in an environment of respect and collaboration, and the data science team is empowered to own its agile processes. every member of the team is expected to be both a student and teacher, and we believe that the most effective data science team is one that is collectively learning and growing. experience in coaching and mentoring colleagues at all levels is strongly desired. as part of the data science team, you’d help build out a real-time predictive analytics platform that makes decisions for some of the largest sites on the web. about you: significant industry experience in several of the following areas: personalized experiences, big data analytics, implementing machine learning & statistical methods, designing and running a/b tests, product design and life cycle, writing production code, designing online auctions. experience in user experience customization a plus experience coaching and mentoring team members experience writing production software in languages like scala, clojure, java, python, or c++ in an agile, collaborative environment experience with handling large amounts of data (tb+) in a production setting experience with spark is a significant plus experience in ad-tech a plus about us: is the data science company for the world’s leading online commerce and travel brands. our predictive intelligence platform uses patented technology to predict user behavior in real-time and identify the future value of every user. over 450 innovative brands from more than 40 countries trust intent’s real-time predictions to deliver personalized user experiences that maximize utility and roi. our team is over 100 people and our offices span globally. we’re headquartered in nyc with locations in london, kuala lumpur, and sao paulo. every day, we’re inspired by two pursuits. first, we’re building novel products that are upending e-commerce. second, we’re building the company we’ve always wanted to work for — one that’s open, human and collaborative, where very smart people come together to share ideas and get things done. we’re included on built in nyc's best places to work list and have been on crain’s 100 best places to work in nyc list for seven years running. love your job! our employees enjoy coming to work, and we let them know they're valued. our vibrant team accomplishes a lot every day, but we insist upon work/life balance so things never become stale. we don’t take ourselves too seriously, but we take our work very seriously. we believe that in order for our employees to perform their best, they need access to strategic decisions, and so our flat structure and open communication invite innovation from all levels — ideas flow freely. we offer competitive compensation, stock options, and great perks & benefits, including: unlimited vacation a generous parental leave policy a beautiful, dog-friendly office in soho with drinks and snacks an open environment with lots of natural light and roof deck access annual $2,000 learning budget and citi bike membership access to fond, our employee perks program featuring deals and discounts on hundreds of products and services access to sherpaa, a telehealth service with 24/7 in-office yoga classes company-wide social events, and more! so what are you waiting for? apply with your resume in just a few clicks! about us our products our dogs twitter instagram",4.6,"<intent>
4.6","New York, NY","New York, NY",51 to 200 employees,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Clicktripz, SmarterTravel",0,0,120,160,140.0,<intent>,NY,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,na,4574,720,2
